,Year,Month,Demand_A,Demand_B
0,2020,0,840.0,760.0
1,2020,1,858.8698310901584,773.5920045138664
2,2020,2,1003.5305240546343,619.1972700061302
3,2020,3,822.0058525946833,685.4300741211516
4,2020,4,1066.6385003967307,515.9019121598506
5,2020,5,858.7175944506199,619.4610181462028
6,2020,6,800.0080298320478,839.558726162031
7,2020,7,929.1655870120192,901.5354772090319
8,2020,8,721.018174744359,796.5711564347915
9,2020,9,595.834464488685,959.0014603999582
10,2020,10,774.6106118997226,795.7330614713161
11,2020,11,1028.4654435206382,822.2529409787875
